,2,3,4,5,6,7,8,9,10,A
17,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,H,H,Sr,Sr,H
15,S,S,S,S,S,H,H,H,Sr,H
14,S,S,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
12,H,H,S,S,S,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,H
10,D,D,D,D,D,D,D,D,H,H
9,H,D,D,D,D,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
,,,,,,,,,,
"A, 8",S,S,S,S,S,S,S,S,S,S
"A, 7",S,D,D,D,D,S,S,H,H,H
"A, 6",H,D,D,D,D,H,H,H,H,H
"A, 5",H,H,D,D,D,H,H,H,H,H
"A, 4",H,H,D,D,D,H,H,H,H,H
"A, 3",H,H,H,D,D,H,H,H,H,H
"A, 2",H,H,H,D,D,H,H,H,H,H
"A, A",P,P,P,P,P,P,P,P,P,P
,,,,,,,,,,
"10, 10",S,S,S,S,S,S,S,S,S,S
"9, 9",P,P,P,P,P,S,P,P,S,S
"8, 8",P,P,P,P,P,P,P,P,P,P
"7, 7",P,P,P,P,P,P,H,H,H,H
"6, 6",P,P,P,P,P,H,H,H,H,H
"5, 5",D,D,D,D,D,D,D,D,H,H
"4, 4",H,H,H,P,P,H,H,H,H,H
"3, 3",P,P,P,P,P,P,H,H,H,H
"2, 2",P,P,P,P,P,P,H,H,H,H
